Number,Date,Check 1,O/T,Check 2,O/T,Check 3,O/T,Final Age,Initaials,
103,12/2/24,6,O,5,O,5,O,5O,AW,
105,12/2/24,6,O,5,T,5,T,5T,AW,
106,12/2/24,6,O,,,,,,,
107,12/2/24,4,T,4,O,,,4O,MT,
108,12/2/24,3,T,5,T,,,,,
109,12/2/24,5,T,4,T,4,T,4T,MP,
110,12/2/24,4,T,6,O,6,O,6O,MP,
111,12/2/24,3,T,2,O,3,T,3T,MP,
112,12/2/24,5,T,5,T,,,5T,AM,
113,12/2/24,4,O,2,T,,4O,JG,,
114,12/2/24,4,O,4,T,,,4T,MT,
115,12/2/24,3,O,2,T,3,O,3O,MT,
116,12/2/24,4,O,5,T,,,4O,BD,
117,12/2/24,5,T,3,T,3,T,3T,Mp,
118,12/2/24,2,O,3,O,,,3O,MT,
119,12/2/24,4,T,4,T,,,4T,AM2,
120,12/2/24,3,T,1,T,1,T,1T,MP,
121,12/2/24,1,T,1,T,,,1T,MP,
122,12/2/24,7,T,7,T,,,7T,PP2,
125,12/2/24,7,O,6,O,,,6O,AW,
126,12/2/24,2,O,1,O,2,O,2O,MT,
127,12/2/24,5,O,5,O,,,5O,PP2,
128,12/2/24,8,O,7,O,7,O,7O,MP,
129,12/2/24,4,T,4,T,,,4T,AM,
130,12/2/24,3,T,3,T,,,3T,JN,
132,12/2/24,4,O,4,O,,,4O,MP,
133,12/2/24,2,O,2,O,,,2O,MP,
135,12/2/24,2,T,,,,,,,
136,12/2/24,5,T,3,T,,,,,
137,12/2/24,2,O,2,O,,,2O,MP,
138,12/2/24,6,T,6,T,,,6T,AM,
139,12/2/24,3,T,5,T,,,5T,AW,
141,12/2/24,3,T,3,T,,,3T,,
142,12/2/24,6,O,6,O,,,6O,MP,
145,12/2/24,4,T,4,T,,,4T,AM2,
147,12/2/24,4,T,,,,,,,
148,12/2/24,9,T,5,T,,,,,
149,12/2/24,n/a?,n/a?,5,O,5,O,5O,MP,
150,12/2/24,4,T,4,T,,,4T,MP,
152,12/2/24,2,O,3,O,2,O,2O,JN,
153,12/2/24,5,O,6,O,6,O,6O,AW,
154,12/2/24,6,O,6,O,,,,,
156,12/2/24,6,T,6,T,,,6T,MP,
157,12/2/24,4,T,4,T,,,4T,,
159,12/2/24,3,O,,,,,3T,JN,
160,2/23/25,5,O,5,O,,,5O,PP2,
161,2/23/25,3,O,,,,,,,
162,2/23/25,3,O,3,O,,,3O,PP2,
164,2/23/25,4,T,4,T,,,4T,PP2,
166,2/23/25,3,T,3,T,,,3T,MP,
167,2/23/25,3,T,4,T,,,4T,JG,
168,2/23/25,4,T,4,T,,,,,
169,2/23/25,2,T,2,T,,,2T,MP,
170,2/23/25,4,O,4,T,,,4T,JG,
171,2/23/25,5,O,5,O,,,5O,JN,
172,2/23/25,6,T,6,T,,,6T,MP,
173,12/23/24,3,T,3,O,3,O,3O,MT,
174,2/24/25,2,T,3,T,2,T,2T,AW,
175,2/23/25,3,T,3,T,,,3T,JN,
176,2/23/25,3,O,3,O,,,,,
177,2/23/25,5,T,,,,,,,
178,2/23/25,5,T,5,T,,,5T,MP,
179,2/23/25,2,O,,,,,,,
180,2/23/25,2,T,2,T,,,2T,JN,
182,2/23/25,6,T,5,T,6,T,6T,LS,
183,2/23/25,3,T,,,,,,,
184,12/2/24,3,T,3,T,,,3T,PP2,
185,2/23/25,4,T,5,T,,,4T,MT,
186,2/25/25,3,T,3,T,,,3T,MP,
187,2/23/25,4,T,3,T,,,BD,,
189,2/23/25,2,T,3,T,2,T,2T,AM,
191,2/23/25,2,T,3,T,,,3T,MT,
194,2/23/25,5,T,4,T,4,T,4T,LS,
195,2/23/25,4,T,1,O,3,O,1O,JG,
196,2/23/25,5,T,5,T,,,5T,MP,
197,2/23/25,4,T,4,T,,,4T,MP,
198,2/23/25,3,T,3,T,,,3T,MP,
207,2/23/25,2,T,2,T,,,2T,MT,
209,2/23/25,3,T,2,T,,,2T,JG,
210,2/23/25,4,O,4,O,,,4O,MT,
211,2/23/25,3,T,3,T,,,3T,PP2,
212,2/23/25,5,T,5,T,3,T,5T,PP2,
214,2/23/25,2,T,3,T,,,3T,JG,
215,2/23/25,1,O,3,O,,,3O,AW,
104 dr. f needs,12/2/24,7,O,5,O,4,T,,,
123 need dr. f,12/2/24,7,T,8,O,11,O,10O,,
134 need dr. f,12/2/24,3,T,4,O,4,T,,,
144 need dr. f,12/2/24,5,T,3,T,2,O,,,
146 need dr. f,12/2/24,4,O,4,T,5,T,,,
155 need dr. f,12/2/24,3,O,4,T,5,T,,,
163 need dr. f,2/23/25,2,T,2,O,4,O,,,
48 need dr. f,12/2/24,3,T,0,T,1,T,,,
54 (needs dr. f),12/2/24,4,O,3,T,3,O,,,
67 need dr. f,12/2/24,2,O,3,O,2,T,,,
78 need dr. f,12/2/24,5,T,6,O,5,O,,,
MP,12/2/24,4,T,4,T,,,4T,,
PP2,12/2/24,4,n/a,4,O,,,4,,
97,12/2/24,6,O,,,,,6O,AW,
190,2/23/25,2,O,4,T,,,4T,MT,
219,2/23/25,7,T,4,T,,,7T,JG,
224,2/23/25,4,O,3,T,,,3T,JG,
202,2/23/25,5,T,6,O,,,6O,JG,
