Number,Date,Check 1,O/T,Check 2,O/T,Check 3,O/T,Final Age,Initaials,
587,11/9/25,2,T,3,T,2,T,2T,JC,
588,11/9/25,3,T,3,T,,,3T,TN,
589/ inconclusive,11/9/25,9,O,9,T,6,T,,,
590,11/9/25,5,T,5,T,,,5T,PL,
591,11/9/25,5,T,6,T,,,,,
592,11/9/25,5,O,6,O,,,,,
593,11/9/25,13,O,,,,,,,
594,11/9/25,4,T,,,,,,,
595,11/9/25,11,O,,,,,,,
596,11/9/25,2,T,,,,,,,
552,11/9/25,3,T,2,T,3,T,3T,BD,
553,11/9/25,5,O,5,T,5,T,5T,BD,
554/ inconclusive,11/9/25,2,T,2,O,4,T,,,
555,11/9/25,7,O,7,O,,,7O,MP,
556,11/9/25,6,O,6,O,,,6O,MP,
557,11/9/25,4,O,4,T,4,O,4O,BD,
558,11/9/25,4,T,5,O,5,O,5O,BD,
559,11/9/25,4,O,4,O,,,4O,MP,
560,11/9/25,5,O,5,O,,,5O,MP,
561,11/9/25,4,O,4,O,,,4O,MP,
562,11/9/25,6,T,6,O,6,T,6T,BD,
563,11/9/25,4,O,5,O,5,O,,TN,
564,11/9/25,3,T,3,T,,,3T,JA,
565,11/9/25,4,O,4,O,,,4O,JA,
566,11/9/25,7,O,7,O,,,7O,JA,
567,11/9/25,3,O,2,O,4,O,,,
568,11/9/25,5,T,5,T,,,5T,JA,
570,11/9/25,5,O,5,O,,,5O,HE,
571,11/9/25,4,T,4,O,4,O,4O,TN,
572,11/9/25,5,O,5,O,,,5O,HE,
573/ inconclusive,11/9/25,2,O,3,T,4,T,,,
574/ inconclusive,11/9/25,3,O,4,O,4,T,,,
276,9/7/25,,,1,T,1,T,1T,BD,
351,9/7/25,,,3/4?,O,,,,,
457,9/7/25,,,5,O,,,,,
